SNo,City,Province/State,Latitude,Longitude
1,Alert, Nunavut,82°30?N,62°20?W
2,Calgary, Alberta,51°03?N,114°04?W
3,Charlottetown, Prince Edward Island,46°14?N,63°09?W
4,Edmonton, Alberta,53°32?N,113°30?W
5,Eureka, Nunavut,79°59?N,85°56?W
6,Fort McMurray, Alberta,56°44?N,111°23?W
7,Fredericton,New Brunswick,45°57?N,66°40?W
8,Grande Prairie, Alberta,55°10?N,118°48?W
9,Grise Fiord, Nunavut,76°25?N,82°54?W
10,Halifax, Nova Scotia,44°51?N,63°12?W
11,Iqaluit, Nunavut,63°45?N,68°31?W
12,Kamloops, British Columbia,50°41?N,120°20?W
13,Kelowna, British Columbia,49°53?N,119°30?W
14,Moncton,New Brunswick,46°08?N,64°46?W
15,Montreal, Quebec,45°30?N,73°34?W
16,North Bay, Ontario,46°18?N,79°27?W
17,Ottawa, Ontario,45°25?N,75°41?W
18,Quebec City, Quebec,46°49?N,71°13?W
19,Regina, Saskatchewan,50°27?N,104°36?W
20,Saint John,New Brunswick,45°17?N,66°05?W
21,Saskatoon, Saskatchewan,52°08?N,106°41?W
22,Sault Ste. Marie, Ontario,46°32?N,84°21?W
23,St. John's, Newfoundland and Labrador,47°34?N,52°42?W
24,Sudbury, Ontario,46°29?N,81°01?W
25,Thunder Bay, Ontario,48°23?N,89°15?W
26,Toronto, Ontario,43°42?N,79°24?W
27,Tuktoyaktuk, Northwest Territories,69°27?N,133°02?W
28,Vancouver, British Columbia,49°15?N,123°06?W
29,Victoria, British Columbia,48°26?N,123°22?W
30,Whitehorse, Yukon,60°43?N,135°03?W
31,Windsor, Ontario,42°17?N,83°00?W
32,Winnipeg, Manitoba,49°54?N,97°08?W
33,Yarmouth, Nova Scotia,43°50?N,66°07?W
34,Yellowknife, Northwest Territories,62°27?N,114°24?W
,,,,
"For more information, kindly visit :  www.downloadexcelfiles.com ",,,,
